alllocation,lon,lat
ภูเก็ต,98.3380884,7.9519331
เชียงใหม่,98.9931284,18.787747
กาญจนบุรี,99.5328115,14.0227797
ราชบุรี,99.8134211,13.5282893
นครศรีธรรมราช,99.9631219,8.4303975
นครปฐม,100.0372929,13.8140293
สุพรรณบุรี,100.1177128,14.4744892
ท่าข้าม,100.1191136,14.4402276
พระราม 2,100.1957706,13.5452109
นครชัยศรี,100.1979459,13.7921746
สามพราน,100.2410976,13.7445573
อ้อมใหญ่,100.2567268,13.688929
สมุทรสาคร,100.2743956,13.5475216
บางซื่อ,100.2880757,13.7384266
อ้อมน้อย,100.2988122,13.7063337
พุทธมณฑล สาย5,100.3008511,13.7545273
แคราย,100.3137013,13.6293869
เพชรเกษม,100.340807,13.699022
กระทุ่มแบน,100.3470943,13.649209
หนองแขม,100.350686,13.699139
เพชรเกษม ซ.48,100.35622,13.706471
บางใหญ่,100.360427,13.849921
เพชรเกษม ซ.81,100.3652235,13.7065464
ดุสิต,100.3755088,13.7276701
บางแวก,100.3799364,13.7444043
แสมดำ,100.3807558,13.5977279
พุทธมณฑล สาย4,100.3837086,13.7086885
เอกชัย,100.3858676,13.6496896
พุทธมณฑล สาย2,100.3889754,13.7748818
บางบอน,100.3890951,13.6549352
พระราม 9,100.4104735,13.6427129
โลตัสบางใหญ่,100.4123356,13.8248989
กาญจนาภิเษก ซ.48,100.4125001,13.7858947
บางบัวทอง,100.4133581,13.9253961
เพชรเกษม ซ.59,100.418888,13.731557
บางแค,100.4210604,13.6988894
เทียนทะเล,100.4219699,13.5784504
พุทธมณฑล สาย1,100.426889,13.7587933
ตลิ่งชัน,100.431247,13.773116
เซ็นทรัลพระราม 2,100.4382045,13.6630189
พระราม 2 ซ.50,100.4416707,13.6684148
ปิ่นเกล้า,100.4423154,13.7663832
ราชพฤกษ์,100.447233,13.749811
ราชพฤกษ์ ซ.6,100.4488079,13.7873386
บางกรวย,100.4624937,13.8068972
อยุธยา,100.4642066,14.5266488
รัตนาธิเบศร์,100.4650157,13.8707273
บางขุนนนท์,100.4664522,13.7763862
จรัญสนิทวงศ์,100.4682069,13.761277
แยกไฟฉาย,100.469382,13.755118
สินสมบูรณ์,100.469827,13.833301
แมคโครท่าพระ,100.4700412,13.7620727
สามัคคี ซ.46,100.4747319,13.7172428
หาดใหญ่,100.4747374,7.0086093
เดอะมอลล์ท่าพระ,100.4784558,13.7136941
BTS กรุงธนบุรี,100.4814398,13.7171611
ท่าพระ,100.4816799,13.706422
พระนั่งเกล้า,100.482346,13.868509
ดาวคะนอง,100.4832171,13.7038115
อรุณอมรินทร์,100.4834458,13.7506189
ปิ่นเกล้า.อรุณอมรินทร์.ศิริราช,100.4834873,13.7547469
พัฒนาการ,100.4836164,13.8694758
ศิริราช,100.485543,13.757971
อิสรภาพ,100.489067,13.7070778
สุขสวัสดิ์ ซ.19,100.4904789,13.6764333
ตลาดเอซี,100.4918209,13.7071117
จรัญสนิทวงศ์ ซ.44,100.4918221,13.7745745
บางปะกอก,100.4930564,13.6762498
บางประกอก,100.4930564,13.6762498
วงเวียนใหญ่,100.4931021,13.7262845
แยกบ้านแขก,100.4946678,13.7303728
ปากเกร็ด,100.4948197,13.9154022
เสรีไท,100.4949222,13.7087707
ลาดหญ้า,100.496914,13.7272856
จรัญสนิทวงศ์ ซ.35,100.4988463,13.7897606
จรัญสนิทวงศ์ ซ.57,100.4993909,13.7888162
จรัญสนิทวงศ์ ซ.6,100.4993934,13.7890911
จรัญสนิทวงศ์ ซ.13,100.4995537,13.7892406
กรุงเทพ,100.5017651,13.7563309
วัดกำแพง,100.5052845,13.8321691
สำเหร่,100.5087523,13.7211042
คลองสาน,100.5087902,13.7279708
เมืองทอง,100.5103121,13.623301
คริสตัลเพลส,100.512165,13.906906
แจ้งวัฒนะ-ปากเกร็ด ซ.20,100.5125355,13.9033277
พระราม 7,100.5133872,13.8129569
เจริญกรุง,100.514161,13.7163801
นนทบุรี,100.5143528,13.8621125
หัวเฉียว,100.514426,13.7499826
บางคูวัด,100.5158037,13.9583849
ราษฎร์บูรณะ ซ.33,100.5180737,13.6760213
พระราม 5,100.5235391,13.7854095
พระราม 3,100.5245102,13.694241
ปทุมธานี,100.5250276,14.0208391
สุขสวัสดิ์,100.526124,13.64117
สาทร,100.5276318,13.7130898
เซ็นทรัลแจ้งวัฒนะ,100.528164,13.904053
แจ้งวัฒนะ-ปากเกร็ด ซ.19,100.5297152,13.9083322
แจ้งวัฒนะ-ปากเกร็ด,100.5297936,13.9089067
ราชเทวี,100.5315687,13.7516381
เตาปูน,100.53224,13.806659
สีลม,100.5346141,13.7290487
สยามพารากอน,100.534972,13.747079
อนุสาวรีย์ชัย,100.538207,13.765089
งามวงศ์วาน ซ.18,100.5386213,13.8542061
งามวงศ์วาน ซ.25,100.5386607,13.8624091
ประดิพัทธ์,100.5394303,13.7931847
งามวงศ์วาน ซ.27,100.5395687,13.8613975
นวนคร,100.5397874,13.9069309
โลตัสพระราม 2,100.5410683,13.6966011
ประชาชื่น,100.542623,13.845775
ดินแดง,100.5433408,13.7630761
พงษ์เพชร,100.5442264,13.8524619
สะพานควาย,100.5483068,13.7901705
อินทามระ ซ.22,100.5530446,13.7916577
พระประแดง,100.5537428,13.6574562
จตุจักร,100.5546027,13.8037421
ม.หอการค้า,100.554976,13.777388
อินทามระ,100.5559678,13.7792877
แจ้งวัฒนะ,100.5582151,13.8925996
รัชดา ซ.3,100.5591694,13.7378539
รัชดา ซ.48,100.559296,13.831939
สุขุมวิท,100.5614498,13.7385283
ม.เกษตร,100.5622068,13.8479801
โรงแรมซีเค,100.563769,13.784819
ปู่เจ้าสมิงพราย,100.5655885,13.648699
อินทามระ ซ.47,100.5705055,13.7854204
คริสตัลโฮเตล,100.57109,13.774295
พหลโยธิน ซ.52,100.5716084,13.8234432
พหลโยธิน ซ.44,100.572415,13.8220667
โรงแรมวัฒนา,100.572925,13.786388
งามวงศ์วาน,100.5735726,13.839807
ห้วยขวาง,100.5739529,13.7790391
สุทธิสาร,100.5744066,13.7890148
ประชาราษฎ์บำเพ็ญ,100.5760456,13.778416
หลักสี่,100.5774799,13.8841935
ลาดพร้าว ซ.18,100.5781878,13.8011514
ลาดพร้าว ซ.114,100.5790876,13.8012249
เกษตรนวมินทร์,100.5795803,13.8401412
วงเวียนบางเขน,100.57972,13.8641559
สุขุมวิท ซ.107,100.5797391,13.7282672
ศรีสมาน,100.5798061,13.9503516
วิภาวดี,100.5798768,13.8764757
สุขุมวิท ซ.103,100.5801092,13.7279873
กรมป่าไม้,100.5804726,13.8482306
ม.กรุงเทพ,100.5805363,13.7121554
ลาดพร้าว ซ.115,100.5809508,13.7987108
ม.กรุงเทพรังสิต,100.581955,13.711375
ลาดพร้าว,100.5824258,13.808117
ทองหล่อ,100.5825355,13.7339984
สรงประภา,100.5825655,13.9332942
ลาดพร้าว ซ.80,100.5827003,13.798475
