lon,lat,loc_cluster,location
100.1957706,13.5452109,4,พระราม 2
100.1979459,13.7921746,4,นครชัยศรี
100.2410976,13.7445573,4,สามพราน
100.2567268,13.688929,4,อ้อมใหญ่
100.2743956,13.5475216,4,สมุทรสาคร
100.2880757,13.7384266,4,บางซื่อ
100.2988122,13.7063337,4,อ้อมน้อย
100.3008511,13.7545273,4,พุทธมณฑล สาย5
100.3137013,13.6293869,4,แคราย
100.340807,13.699022,4,เพชรเกษม
100.3470943,13.649209,4,กระทุ่มแบน
100.350686,13.699139,4,หนองแขม
100.35622,13.706471,4,เพชรเกษม ซ.48
100.360427,13.849921,4,บางใหญ่
100.3652235,13.7065464,4,เพชรเกษม ซ.81
100.3755088,13.7276701,4,ดุสิต
100.3799364,13.7444043,4,บางแวก
100.3807558,13.5977279,4,แสมดำ
100.3837086,13.7086885,4,พุทธมณฑล สาย4
100.3858676,13.6496896,4,เอกชัย
100.3889754,13.7748818,4,พุทธมณฑล สาย2
100.3890951,13.6549352,4,บางบอน
100.4104735,13.6427129,4,พระราม 9
100.4123356,13.8248989,6,โลตัสบางใหญ่
100.4125001,13.7858947,6,กาญจนาภิเษก ซ.48
100.4133581,13.9253961,1,บางบัวทอง
100.418888,13.731557,6,เพชรเกษม ซ.59
100.4210604,13.6988894,6,บางแค
100.4219699,13.5784504,4,เทียนทะเล
100.426889,13.7587933,6,พุทธมณฑล สาย1
100.431247,13.773116,6,ตลิ่งชัน
100.4382045,13.6630189,6,เซ็นทรัลพระราม 2
100.4416707,13.6684148,6,พระราม 2 ซ.50
100.4423154,13.7663832,6,ปิ่นเกล้า
100.447233,13.749811,6,ราชพฤกษ์
100.4488079,13.7873386,6,ราชพฤกษ์ ซ.6
100.4624937,13.8068972,6,บางกรวย
100.4650157,13.8707273,1,รัตนาธิเบศร์
100.4664522,13.7763862,6,บางขุนนนท์
100.4682069,13.761277,6,จรัญสนิทวงศ์
100.469382,13.755118,6,แยกไฟฉาย
100.469827,13.833301,1,สินสมบูรณ์
100.4700412,13.7620727,6,แมคโครท่าพระ
100.4747319,13.7172428,6,สามัคคี ซ.46
100.4784558,13.7136941,6,เดอะมอลล์ท่าพระ
100.4814398,13.7171611,6,BTS กรุงธนบุรี
100.4816799,13.706422,6,ท่าพระ
100.482346,13.868509,1,พระนั่งเกล้า
100.4832171,13.7038115,6,ดาวคะนอง
100.4834458,13.7506189,6,อรุณอมรินทร์
100.4834873,13.7547469,6,ปิ่นเกล้า.อรุณอมรินทร์.ศิริราช
100.4836164,13.8694758,1,พัฒนาการ
100.485543,13.757971,6,ศิริราช
100.489067,13.7070778,6,อิสรภาพ
100.4904789,13.6764333,6,สุขสวัสดิ์ ซ.19
100.4918209,13.7071117,6,ตลาดเอซี
100.4918221,13.7745745,6,จรัญสนิทวงศ์ ซ.44
100.4930564,13.6762498,6,บางปะกอก
100.4930564,13.6762498,6,บางประกอก
100.4931021,13.7262845,6,วงเวียนใหญ่
100.4946678,13.7303728,6,แยกบ้านแขก
100.4948197,13.9154022,1,ปากเกร็ด
100.4949222,13.7087707,6,เสรีไท
100.496914,13.7272856,6,ลาดหญ้า
100.4988463,13.7897606,6,จรัญสนิทวงศ์ ซ.35
100.4993909,13.7888162,6,จรัญสนิทวงศ์ ซ.57
100.4993934,13.7890911,6,จรัญสนิทวงศ์ ซ.6
